Instance 1 | Big:
Plants:
1.- Max distribution: 1747
-Send cost:
      -Center 5: 455
      -Center 6: 589
      -Center 7: 752
      -Center 8: 662
      -Center 9: 189
      -Center 10: 591
      -Center 11: 191
      -Center 12: 631
      -Center 13: 564
      -Center 14: 395
      -Center 15: 426
      -Center 16: 360
      -Center 17: 618
      -Center 18: 400
      -Center 19: 145
      -Center 20: 726
      -Center 21: 779
      -Center 22: 715
      -Center 23: 636
      -Center 24: 661
      -Center 25: 283
      -Center 26: 394
22.- Max distribution: 1742
-Send cost:
      -Center 1: 742
      -Center 2: 577
      -Center 3: 973
      -Center 4: 146
      -Center 5: 144
      -Center 6: 580
      -Center 7: 613
      -Center 8: 868
      -Center 9: 494
      -Center 10: 304
      -Center 11: 909
      -Center 12: 680
      -Center 13: 907
      -Center 14: 382
      -Center 15: 772
      -Center 16: 814
      -Center 17: 357
      -Center 18: 492
      -Center 19: 724
      -Center 20: 287
      -Center 21: 373
      -Center 22: 236
      -Center 23: 291
      -Center 24: 776
      -Center 25: 862
      -Center 26: 928
Centers:
1.- Max manage: 703 | Operation cost: 1439
-Send cost:
      -Zone 1: 127
      -Zone 2: 949
      -Zone 3: 497
      -Zone 4: 344
      -Zone 5: 271
      -Zone 6: 571
      -Zone 7: 200
      -Zone 8: 389
      -Zone 9: 301
      -Zone 10: 969
      -Zone 11: 545
      -Zone 12: 160
      -Zone 13: 700
      -Zone 14: 403
      -Zone 15: 700
      -Zone 16: 469
      -Zone 17: 698
      -Zone 18: 426
      -Zone 19: 385
      -Zone 20: 712
      -Zone 21: 212
      -Zone 22: 986
      -Zone 23: 344
      -Zone 24: 294
      -Zone 25: 276
      -Zone 26: 888
      -Zone 27: 221
      -Zone 28: 221
      -Zone 29: 705
      -Zone 30: 826
      -Zone 31: 367
      -Zone 32: 857
      -Zone 33: 972
2.- Max manage: 991 | Operation cost: 686
-Send cost:
      -Zone 1: 714
      -Zone 2: 987
      -Zone 3: 663
      -Zone 4: 182
      -Zone 5: 944
      -Zone 6: 926
      -Zone 7: 491
      -Zone 8: 720
      -Zone 9: 224
      -Zone 10: 121
      -Zone 11: 600
      -Zone 12: 622
      -Zone 13: 788
      -Zone 14: 959
      -Zone 15: 604
      -Zone 16: 326
      -Zone 17: 622
      -Zone 18: 244
      -Zone 19: 984
      -Zone 20: 504
      -Zone 21: 956
      -Zone 22: 880
      -Zone 23: 146
      -Zone 24: 607
      -Zone 25: 433
      -Zone 26: 899
      -Zone 27: 439
      -Zone 28: 656
      -Zone 29: 808
      -Zone 30: 583
      -Zone 31: 882
      -Zone 32: 708
      -Zone 33: 476
3.- Max manage: 363 | Operation cost: 1313
-Send cost:
      -Zone 1: 396
      -Zone 2: 861
      -Zone 3: 928
      -Zone 4: 996
      -Zone 5: 230
      -Zone 6: 546
      -Zone 7: 288
      -Zone 8: 673
      -Zone 9: 441
      -Zone 10: 436
      -Zone 11: 592
      -Zone 12: 472
      -Zone 13: 777
      -Zone 14: 253
      -Zone 15: 914
      -Zone 16: 542
      -Zone 17: 684
      -Zone 18: 217
      -Zone 19: 557
      -Zone 20: 606
      -Zone 21: 559
      -Zone 22: 975
      -Zone 23: 186
      -Zone 24: 568
      -Zone 25: 401
      -Zone 26: 690
      -Zone 27: 550
      -Zone 28: 906
      -Zone 29: 361
      -Zone 30: 249
      -Zone 31: 826
      -Zone 32: 231
      -Zone 33: 456
4.- Max manage: 384 | Operation cost: 1390
-Send cost:
      -Zone 1: 742
      -Zone 2: 296
      -Zone 3: 139
      -Zone 4: 534
      -Zone 5: 421
      -Zone 6: 530
      -Zone 7: 547
      -Zone 8: 107
      -Zone 9: 971
      -Zone 10: 446
      -Zone 11: 435
      -Zone 12: 689
      -Zone 13: 957
      -Zone 14: 923
      -Zone 15: 138
      -Zone 16: 739
      -Zone 17: 330
      -Zone 18: 902
      -Zone 19: 1000
      -Zone 20: 943
      -Zone 21: 284
      -Zone 22: 840
      -Zone 23: 315
      -Zone 24: 660
      -Zone 25: 346
      -Zone 26: 297
      -Zone 27: 718
      -Zone 28: 960
      -Zone 29: 294
      -Zone 30: 425
      -Zone 31: 769
      -Zone 32: 661
      -Zone 33: 786
5.- Max manage: 178 | Operation cost: 1429
-Send cost:
      -Zone 1: 660
      -Zone 2: 797
      -Zone 3: 139
      -Zone 4: 606
      -Zone 5: 882
      -Zone 6: 281
      -Zone 7: 607
      -Zone 8: 583
      -Zone 9: 992
      -Zone 10: 124
      -Zone 11: 447
      -Zone 12: 794
      -Zone 13: 316
      -Zone 14: 719
      -Zone 15: 136
      -Zone 16: 125
      -Zone 17: 869
      -Zone 18: 790
      -Zone 19: 504
      -Zone 20: 613
      -Zone 21: 564
      -Zone 22: 351
      -Zone 23: 694
      -Zone 24: 210
      -Zone 25: 514
      -Zone 26: 935
      -Zone 27: 106
      -Zone 28: 996
      -Zone 29: 154
      -Zone 30: 980
      -Zone 31: 851
      -Zone 32: 371
      -Zone 33: 161
6.- Max manage: 146 | Operation cost: 1121
-Send cost:
      -Zone 1: 614
      -Zone 2: 982
      -Zone 3: 917
      -Zone 4: 346
      -Zone 5: 448
      -Zone 6: 649
      -Zone 7: 670
      -Zone 8: 794
      -Zone 9: 170
      -Zone 10: 468
      -Zone 11: 373
      -Zone 12: 294
      -Zone 13: 204
      -Zone 14: 605
      -Zone 15: 771
      -Zone 16: 225
      -Zone 17: 123
      -Zone 18: 825
      -Zone 19: 849
      -Zone 20: 216
      -Zone 21: 356
      -Zone 22: 524
      -Zone 23: 334
      -Zone 24: 342
      -Zone 25: 554
      -Zone 26: 222
      -Zone 27: 118
      -Zone 28: 572
      -Zone 29: 303
      -Zone 30: 812
      -Zone 31: 131
      -Zone 32: 296
      -Zone 33: 573
7.- Max manage: 203 | Operation cost: 1345
-Send cost:
      -Zone 1: 907
      -Zone 2: 374
      -Zone 3: 313
      -Zone 4: 580
      -Zone 5: 111
      -Zone 6: 690
      -Zone 7: 292
      -Zone 8: 283
      -Zone 9: 710
      -Zone 10: 716
      -Zone 11: 933
      -Zone 12: 205
      -Zone 13: 762
      -Zone 14: 744
      -Zone 15: 492
      -Zone 16: 144
      -Zone 17: 945
      -Zone 18: 456
      -Zone 19: 519
      -Zone 20: 148
      -Zone 21: 587
      -Zone 22: 816
      -Zone 23: 105
      -Zone 24: 547
      -Zone 25: 172
      -Zone 26: 470
      -Zone 27: 449
      -Zone 28: 176
      -Zone 29: 773
      -Zone 30: 246
      -Zone 31: 965
      -Zone 32: 859
      -Zone 33: 902
8.- Max manage: 849 | Operation cost: 685
-Send cost:
      -Zone 1: 411
      -Zone 2: 617
      -Zone 3: 354
      -Zone 4: 189
      -Zone 5: 181
      -Zone 6: 834
      -Zone 7: 822
      -Zone 8: 240
      -Zone 9: 565
      -Zone 10: 660
      -Zone 11: 315
      -Zone 12: 510
      -Zone 13: 606
      -Zone 14: 594
      -Zone 15: 345
      -Zone 16: 539
      -Zone 17: 480
      -Zone 18: 861
      -Zone 19: 105
      -Zone 20: 755
      -Zone 21: 761
      -Zone 22: 948
      -Zone 23: 477
      -Zone 24: 112
      -Zone 25: 782
      -Zone 26: 866
      -Zone 27: 795
      -Zone 28: 758
      -Zone 29: 112
      -Zone 30: 356
      -Zone 31: 471
      -Zone 32: 607
      -Zone 33: 879
9.- Max manage: 986 | Operation cost: 953
-Send cost:
      -Zone 1: 680
      -Zone 2: 289
      -Zone 3: 249
      -Zone 4: 291
      -Zone 5: 303
      -Zone 6: 746
      -Zone 7: 753
      -Zone 8: 101
      -Zone 9: 673
      -Zone 10: 564
      -Zone 11: 702
      -Zone 12: 130
      -Zone 13: 466
      -Zone 14: 892
      -Zone 15: 887
      -Zone 16: 909
      -Zone 17: 184
      -Zone 18: 664
      -Zone 19: 997
      -Zone 20: 165
      -Zone 21: 801
      -Zone 22: 932
      -Zone 23: 837
      -Zone 24: 623
      -Zone 25: 405
      -Zone 26: 826
      -Zone 27: 813
      -Zone 28: 532
      -Zone 29: 723
      -Zone 30: 595
      -Zone 31: 513
      -Zone 32: 951
      -Zone 33: 354
10.- Max manage: 195 | Operation cost: 1099
-Send cost:
      -Zone 1: 487
      -Zone 2: 146
      -Zone 3: 333
      -Zone 4: 202
      -Zone 5: 544
      -Zone 6: 722
      -Zone 7: 367
      -Zone 8: 185
      -Zone 9: 187
      -Zone 10: 615
      -Zone 11: 239
      -Zone 12: 790
      -Zone 13: 424
      -Zone 14: 236
      -Zone 15: 374
      -Zone 16: 208
      -Zone 17: 429
      -Zone 18: 521
      -Zone 19: 299
      -Zone 20: 723
      -Zone 21: 416
      -Zone 22: 358
      -Zone 23: 547
      -Zone 24: 550
      -Zone 25: 442
      -Zone 26: 928
      -Zone 27: 919
      -Zone 28: 667
      -Zone 29: 316
      -Zone 30: 808
      -Zone 31: 717
      -Zone 32: 946
      -Zone 33: 970
11.- Max manage: 355 | Operation cost: 648
-Send cost:
      -Zone 1: 125
      -Zone 2: 185
      -Zone 3: 329
      -Zone 4: 269
      -Zone 5: 987
      -Zone 6: 626
      -Zone 7: 449
      -Zone 8: 510
      -Zone 9: 845
      -Zone 10: 961
      -Zone 11: 685
      -Zone 12: 552
      -Zone 13: 741
      -Zone 14: 878
      -Zone 15: 705
      -Zone 16: 396
      -Zone 17: 992
      -Zone 18: 653
      -Zone 19: 445
      -Zone 20: 621
      -Zone 21: 349
      -Zone 22: 425
      -Zone 23: 719
      -Zone 24: 100
      -Zone 25: 950
      -Zone 26: 970
      -Zone 27: 164
      -Zone 28: 625
      -Zone 29: 309
      -Zone 30: 245
      -Zone 31: 994
      -Zone 32: 760
      -Zone 33: 976
12.- Max manage: 275 | Operation cost: 1283
-Send cost:
      -Zone 1: 172
      -Zone 2: 534
      -Zone 3: 623
      -Zone 4: 338
      -Zone 5: 787
      -Zone 6: 663
      -Zone 7: 908
      -Zone 8: 590
      -Zone 9: 841
      -Zone 10: 321
      -Zone 11: 105
      -Zone 12: 637
      -Zone 13: 397
      -Zone 14: 478
      -Zone 15: 393
      -Zone 16: 789
      -Zone 17: 471
      -Zone 18: 977
      -Zone 19: 815
      -Zone 20: 391
      -Zone 21: 633
      -Zone 22: 282
      -Zone 23: 145
      -Zone 24: 878
      -Zone 25: 146
      -Zone 26: 322
      -Zone 27: 200
      -Zone 28: 623
      -Zone 29: 446
      -Zone 30: 235
      -Zone 31: 121
      -Zone 32: 660
      -Zone 33: 895
13.- Max manage: 932 | Operation cost: 1227
-Send cost:
      -Zone 1: 495
      -Zone 2: 415
      -Zone 3: 628
      -Zone 4: 204
      -Zone 5: 173
      -Zone 6: 314
      -Zone 7: 570
      -Zone 8: 361
      -Zone 9: 752
      -Zone 10: 390
      -Zone 11: 349
      -Zone 12: 296
      -Zone 13: 823
      -Zone 14: 124
      -Zone 15: 524
      -Zone 16: 450
      -Zone 17: 363
      -Zone 18: 670
      -Zone 19: 500
      -Zone 20: 449
      -Zone 21: 406
      -Zone 22: 147
      -Zone 23: 780
      -Zone 24: 229
      -Zone 25: 896
      -Zone 26: 751
      -Zone 27: 797
      -Zone 28: 818
      -Zone 29: 955
      -Zone 30: 729
      -Zone 31: 454
      -Zone 32: 699
      -Zone 33: 949
14.- Max manage: 150 | Operation cost: 672
-Send cost:
      -Zone 1: 928
      -Zone 2: 315
      -Zone 3: 531
      -Zone 4: 772
      -Zone 5: 245
      -Zone 6: 526
      -Zone 7: 403
      -Zone 8: 587
      -Zone 9: 221
      -Zone 10: 793
      -Zone 11: 218
      -Zone 12: 194
      -Zone 13: 279
      -Zone 14: 342
      -Zone 15: 819
      -Zone 16: 340
      -Zone 17: 527
      -Zone 18: 420
      -Zone 19: 845
      -Zone 20: 249
      -Zone 21: 208
      -Zone 22: 960
      -Zone 23: 125
      -Zone 24: 291
      -Zone 25: 861
      -Zone 26: 119
      -Zone 27: 962
      -Zone 28: 110
      -Zone 29: 412
      -Zone 30: 774
      -Zone 31: 444
      -Zone 32: 141
      -Zone 33: 984
15.- Max manage: 451 | Operation cost: 1135
-Send cost:
      -Zone 1: 861
      -Zone 2: 751
      -Zone 3: 448
      -Zone 4: 229
      -Zone 5: 214
      -Zone 6: 760
      -Zone 7: 587
      -Zone 8: 848
      -Zone 9: 211
      -Zone 10: 783
      -Zone 11: 378
      -Zone 12: 788
      -Zone 13: 392
      -Zone 14: 421
      -Zone 15: 831
      -Zone 16: 467
      -Zone 17: 165
      -Zone 18: 793
      -Zone 19: 796
      -Zone 20: 488
      -Zone 21: 653
      -Zone 22: 250
      -Zone 23: 877
      -Zone 24: 476
      -Zone 25: 374
      -Zone 26: 102
      -Zone 27: 247
      -Zone 28: 299
      -Zone 29: 521
      -Zone 30: 563
      -Zone 31: 978
      -Zone 32: 781
      -Zone 33: 375
16.- Max manage: 283 | Operation cost: 1322
-Send cost:
      -Zone 1: 299
      -Zone 2: 158
      -Zone 3: 519
      -Zone 4: 140
      -Zone 5: 267
      -Zone 6: 556
      -Zone 7: 360
      -Zone 8: 394
      -Zone 9: 203
      -Zone 10: 215
      -Zone 11: 978
      -Zone 12: 157
      -Zone 13: 952
      -Zone 14: 656
      -Zone 15: 640
      -Zone 16: 838
      -Zone 17: 196
      -Zone 18: 415
      -Zone 19: 902
      -Zone 20: 817
      -Zone 21: 842
      -Zone 22: 755
      -Zone 23: 193
      -Zone 24: 596
      -Zone 25: 747
      -Zone 26: 773
      -Zone 27: 904
      -Zone 28: 735
      -Zone 29: 530
      -Zone 30: 440
      -Zone 31: 892
      -Zone 32: 296
      -Zone 33: 953
17.- Max manage: 761 | Operation cost: 1045
-Send cost:
      -Zone 1: 879
      -Zone 2: 631
      -Zone 3: 918
      -Zone 4: 910
      -Zone 5: 108
      -Zone 6: 864
      -Zone 7: 248
      -Zone 8: 738
      -Zone 9: 334
      -Zone 10: 665
      -Zone 11: 505
      -Zone 12: 434
      -Zone 13: 873
      -Zone 14: 720
      -Zone 15: 839
      -Zone 16: 229
      -Zone 17: 898
      -Zone 18: 381
      -Zone 19: 256
      -Zone 20: 931
      -Zone 21: 125
      -Zone 22: 935
      -Zone 23: 203
      -Zone 24: 251
      -Zone 25: 711
      -Zone 26: 462
      -Zone 27: 483
      -Zone 28: 845
      -Zone 29: 382
      -Zone 30: 519
      -Zone 31: 439
      -Zone 32: 292
      -Zone 33: 938
18.- Max manage: 516 | Operation cost: 982
-Send cost:
      -Zone 1: 269
      -Zone 2: 206
      -Zone 3: 441
      -Zone 4: 470
      -Zone 5: 365
      -Zone 6: 893
      -Zone 7: 798
      -Zone 8: 995
      -Zone 9: 893
      -Zone 10: 242
      -Zone 11: 719
      -Zone 12: 557
      -Zone 13: 582
      -Zone 14: 561
      -Zone 15: 769
      -Zone 16: 829
      -Zone 17: 281
      -Zone 18: 730
      -Zone 19: 249
      -Zone 20: 910
      -Zone 21: 629
      -Zone 22: 116
      -Zone 23: 940
      -Zone 24: 238
      -Zone 25: 103
      -Zone 26: 743
      -Zone 27: 868
      -Zone 28: 490
      -Zone 29: 646
      -Zone 30: 676
      -Zone 31: 476
      -Zone 32: 410
      -Zone 33: 428
19.- Max manage: 365 | Operation cost: 1140
-Send cost:
      -Zone 1: 236
      -Zone 2: 182
      -Zone 3: 378
      -Zone 4: 837
      -Zone 5: 991
      -Zone 6: 332
      -Zone 7: 536
      -Zone 8: 456
      -Zone 9: 324
      -Zone 10: 145
      -Zone 11: 647
      -Zone 12: 204
      -Zone 13: 669
      -Zone 14: 913
      -Zone 15: 580
      -Zone 16: 476
      -Zone 17: 746
      -Zone 18: 320
      -Zone 19: 334
      -Zone 20: 819
      -Zone 21: 954
      -Zone 22: 241
      -Zone 23: 495
      -Zone 24: 950
      -Zone 25: 391
      -Zone 26: 874
      -Zone 27: 132
      -Zone 28: 240
      -Zone 29: 950
      -Zone 30: 509
      -Zone 31: 404
      -Zone 32: 676
      -Zone 33: 437
20.- Max manage: 837 | Operation cost: 1283
-Send cost:
      -Zone 1: 981
      -Zone 2: 873
      -Zone 3: 424
      -Zone 4: 791
      -Zone 5: 649
      -Zone 6: 564
      -Zone 7: 948
      -Zone 8: 348
      -Zone 9: 769
      -Zone 10: 703
      -Zone 11: 879
      -Zone 12: 209
      -Zone 13: 878
      -Zone 14: 350
      -Zone 15: 983
      -Zone 16: 176
      -Zone 17: 360
      -Zone 18: 403
      -Zone 19: 482
      -Zone 20: 227
      -Zone 21: 243
      -Zone 22: 602
      -Zone 23: 425
      -Zone 24: 280
      -Zone 25: 284
      -Zone 26: 262
      -Zone 27: 357
      -Zone 28: 968
      -Zone 29: 654
      -Zone 30: 784
      -Zone 31: 753
      -Zone 32: 935
      -Zone 33: 993
21.- Max manage: 436 | Operation cost: 755
-Send cost:
      -Zone 1: 529
      -Zone 2: 251
      -Zone 3: 856
      -Zone 4: 811
      -Zone 5: 953
      -Zone 6: 516
      -Zone 7: 389
      -Zone 8: 519
      -Zone 9: 370
      -Zone 10: 205
      -Zone 11: 143
      -Zone 12: 928
      -Zone 13: 679
      -Zone 14: 353
      -Zone 15: 569
      -Zone 16: 749
      -Zone 17: 958
      -Zone 18: 306
      -Zone 19: 269
      -Zone 20: 307
      -Zone 21: 406
      -Zone 22: 485
      -Zone 23: 895
      -Zone 24: 406
      -Zone 25: 291
      -Zone 26: 271
      -Zone 27: 536
      -Zone 28: 893
      -Zone 29: 585
      -Zone 30: 920
      -Zone 31: 459
      -Zone 32: 585
      -Zone 33: 665
22.- Max manage: 389 | Operation cost: 706
-Send cost:
      -Zone 1: 329
      -Zone 2: 551
      -Zone 3: 325
      -Zone 4: 121
      -Zone 5: 489
      -Zone 6: 460
      -Zone 7: 620
      -Zone 8: 915
      -Zone 9: 714
      -Zone 10: 475
      -Zone 11: 844
      -Zone 12: 649
      -Zone 13: 446
      -Zone 14: 407
      -Zone 15: 206
      -Zone 16: 882
      -Zone 17: 731
      -Zone 18: 655
      -Zone 19: 979
      -Zone 20: 984
      -Zone 21: 385
      -Zone 22: 758
      -Zone 23: 541
      -Zone 24: 884
      -Zone 25: 561
      -Zone 26: 650
      -Zone 27: 427
      -Zone 28: 867
      -Zone 29: 295
      -Zone 30: 965
      -Zone 31: 783
      -Zone 32: 587
      -Zone 33: 692
23.- Max manage: 166 | Operation cost: 1442
-Send cost:
      -Zone 1: 251
      -Zone 2: 924
      -Zone 3: 706
      -Zone 4: 525
      -Zone 5: 437
      -Zone 6: 850
      -Zone 7: 928
      -Zone 8: 518
      -Zone 9: 145
      -Zone 10: 473
      -Zone 11: 696
      -Zone 12: 773
      -Zone 13: 523
      -Zone 14: 661
      -Zone 15: 127
      -Zone 16: 293
      -Zone 17: 136
      -Zone 18: 919
      -Zone 19: 673
      -Zone 20: 406
      -Zone 21: 271
      -Zone 22: 1000
      -Zone 23: 682
      -Zone 24: 113
      -Zone 25: 848
      -Zone 26: 747
      -Zone 27: 768
      -Zone 28: 993
      -Zone 29: 294
      -Zone 30: 990
      -Zone 31: 299
      -Zone 32: 922
      -Zone 33: 933
24.- Max manage: 728 | Operation cost: 1286
-Send cost:
      -Zone 1: 953
      -Zone 2: 163
      -Zone 3: 458
      -Zone 4: 752
      -Zone 5: 334
      -Zone 6: 918
      -Zone 7: 708
      -Zone 8: 130
      -Zone 9: 783
      -Zone 10: 401
      -Zone 11: 468
      -Zone 12: 753
      -Zone 13: 946
      -Zone 14: 178
      -Zone 15: 258
      -Zone 16: 942
      -Zone 17: 208
      -Zone 18: 164
      -Zone 19: 842
      -Zone 20: 381
      -Zone 21: 850
      -Zone 22: 948
      -Zone 23: 156
      -Zone 24: 121
      -Zone 25: 921
      -Zone 26: 439
      -Zone 27: 838
      -Zone 28: 475
      -Zone 29: 464
      -Zone 30: 564
      -Zone 31: 210
      -Zone 32: 292
      -Zone 33: 218
25.- Max manage: 223 | Operation cost: 1422
-Send cost:
      -Zone 1: 486
      -Zone 2: 833
      -Zone 3: 344
      -Zone 4: 212
      -Zone 5: 992
      -Zone 6: 120
      -Zone 7: 429
      -Zone 8: 414
      -Zone 9: 359
      -Zone 10: 591
      -Zone 11: 820
      -Zone 12: 242
      -Zone 13: 709
      -Zone 14: 574
      -Zone 15: 447
      -Zone 16: 997
      -Zone 17: 388
      -Zone 18: 257
      -Zone 19: 986
      -Zone 20: 968
      -Zone 21: 928
      -Zone 22: 147
      -Zone 23: 965
      -Zone 24: 644
      -Zone 25: 942
      -Zone 26: 836
      -Zone 27: 876
      -Zone 28: 767
      -Zone 29: 418
      -Zone 30: 822
      -Zone 31: 840
      -Zone 32: 454
      -Zone 33: 208
26.- Max manage: 338 | Operation cost: 875
-Send cost:
      -Zone 1: 292
      -Zone 2: 362
      -Zone 3: 763
      -Zone 4: 709
      -Zone 5: 676
      -Zone 6: 293
      -Zone 7: 428
      -Zone 8: 204
      -Zone 9: 639
      -Zone 10: 789
      -Zone 11: 196
      -Zone 12: 248
      -Zone 13: 486
      -Zone 14: 693
      -Zone 15: 347
      -Zone 16: 908
      -Zone 17: 144
      -Zone 18: 165
      -Zone 19: 762
      -Zone 20: 214
      -Zone 21: 773
      -Zone 22: 553
      -Zone 23: 877
      -Zone 24: 322
      -Zone 25: 176
      -Zone 26: 666
      -Zone 27: 795
      -Zone 28: 138
      -Zone 29: 413
      -Zone 30: 720
      -Zone 31: 124
      -Zone 32: 434
      -Zone 33: 645
Demand zones:
1.- Demand amount: 629
2.- Demand amount: 769
3.- Demand amount: 421
4.- Demand amount: 960
5.- Demand amount: 432
6.- Demand amount: 688
7.- Demand amount: 543
8.- Demand amount: 699
9.- Demand amount: 483
10.- Demand amount: 422
11.- Demand amount: 617
12.- Demand amount: 770
13.- Demand amount: 701
14.- Demand amount: 202
15.- Demand amount: 416
16.- Demand amount: 884
17.- Demand amount: 346
18.- Demand amount: 686
19.- Demand amount: 888
20.- Demand amount: 631
21.- Demand amount: 925
22.- Demand amount: 694
23.- Demand amount: 864
24.- Demand amount: 855
25.- Demand amount: 228
26.- Demand amount: 623
27.- Demand amount: 426
28.- Demand amount: 742
29.- Demand amount: 662
30.- Demand amount: 585
31.- Demand amount: 896
32.- Demand amount: 486
33.- Demand amount: 605


Instance 4 | Big:
Plants:
1.- Max distribution: 1654
-Send cost:
      -Center 1: 605
      -Center 2: 522
      -Center 3: 701
      -Center 4: 743
      -Center 5: 183
      -Center 6: 278
      -Center 7: 180
      -Center 8: 209
      -Center 9: 744
      -Center 10: 384
      -Center 11: 955
      -Center 12: 821
      -Center 13: 748
      -Center 14: 552
      -Center 15: 816
      -Center 16: 264
      -Center 17: 774
      -Center 18: 121
      -Center 19: 201
      -Center 20: 724
      -Center 21: 623
      -Center 22: 260
      -Center 23: 567
      -Center 24: 201
      -Center 25: 628
      -Center 26: 472
      -Center 27: 551
      -Center 28: 738
      -Center 29: 115
      -Center 30: 645
      -Center 31: 587
      -Center 32: 915
      -Center 33: 672
      -Center 34: 318
2.- Max distribution: 1522
-Send cost:
      -Center 1: 447
      -Center 2: 291
      -Center 3: 292
      -Center 4: 470
      -Center 5: 783
      -Center 6: 875
      -Center 7: 112
      -Center 8: 102
      -Center 9: 904
      -Center 10: 351
      -Center 11: 663
      -Center 12: 807
      -Center 13: 232
      -Center 14: 754
      -Center 15: 399
      -Center 16: 806
      -Center 17: 865
      -Center 18: 916
      -Center 19: 458
      -Center 20: 396
      -Center 21: 679
      -Center 22: 484
      -Center 23: 476
      -Center 24: 774
      -Center 25: 467
      -Center 26: 855
      -Center 27: 774
      -Center 28: 513
      -Center 29: 975
      -Center 30: 829
      -Center 31: 753
      -Center 32: 813
      -Center 33: 780
      -Center 34: 261
3.- Max distribution: 1155
-Send cost:
      -Center 1: 828
      -Center 2: 692
      -Center 3: 380
      -Center 4: 398
      -Center 5: 652
      -Center 6: 987
      -Center 7: 620
      -Center 8: 916
      -Center 9: 170
      -Center 10: 163
      -Center 11: 954
      -Center 12: 221
      -Center 13: 273
      -Center 14: 963
      -Center 15: 160
      -Center 16: 176
      -Center 17: 804
      -Center 18: 686
      -Center 19: 235
      -Center 20: 490
      -Center 21: 743
      -Center 22: 229
      -Center 23: 207
      -Center 24: 868
      -Center 25: 137
      -Center 26: 945
      -Center 27: 469
      -Center 28: 889
      -Center 29: 738
      -Center 30: 667
      -Center 31: 949
      -Center 32: 340
      -Center 33: 720
      -Center 34: 529
4.- Max distribution: 1197
-Send cost:
      -Center 1: 553
      -Center 2: 856
      -Center 3: 719
      -Center 4: 641
      -Center 5: 632
      -Center 6: 594
      -Center 7: 335
      -Center 8: 315
      -Center 9: 716
      -Center 10: 975
      -Center 11: 892
      -Center 12: 941
      -Center 13: 335
      -Center 14: 685
      -Center 15: 107
      -Center 16: 941
      -Center 17: 815
      -Center 18: 512
      -Center 19: 159
      -Center 20: 160
      -Center 21: 289
      -Center 22: 309
      -Center 23: 985
      -Center 24: 844
      -Center 25: 827
      -Center 26: 844
      -Center 27: 418
      -Center 28: 727
      -Center 29: 657
      -Center 30: 579
      -Center 31: 523
      -Center 32: 984
      -Center 33: 551
      -Center 34: 115
5.- Max distribution: 1352
-Send cost:
      -Center 1: 266
      -Center 2: 180
      -Center 3: 332
      -Center 4: 348
      -Center 5: 573
      -Center 6: 449
      -Center 7: 991
      -Center 8: 243
      -Center 9: 812
      -Center 10: 457
      -Center 11: 991
      -Center 12: 238
      -Center 13: 785
      -Center 14: 267
      -Center 15: 930
      -Center 16: 889
      -Center 17: 909
      -Center 18: 200
      -Center 19: 359
      -Center 20: 948
      -Center 21: 225
      -Center 22: 470
      -Center 23: 691
      -Center 24: 419
      -Center 25: 646
      -Center 26: 174
      -Center 27: 808
      -Center 28: 550
      -Center 29: 282
      -Center 30: 717
      -Center 31: 475
      -Center 32: 418
      -Center 33: 753
      -Center 34: 280
6.- Max distribution: 936
-Send cost:
      -Center 1: 747
      -Center 2: 836
      -Center 3: 647
      -Center 4: 671
      -Center 5: 162
      -Center 6: 838
      -Center 7: 631
      -Center 8: 876
      -Center 9: 850
      -Center 10: 312
      -Center 11: 865
      -Center 12: 978
      -Center 13: 185
      -Center 14: 819
      -Center 15: 172
      -Center 16: 236
      -Center 17: 103
      -Center 18: 308
      -Center 19: 116
      -Center 20: 339
      -Center 21: 319
      -Center 22: 790
      -Center 23: 583
      -Center 24: 297
      -Center 25: 665
      -Center 26: 760
      -Center 27: 866
      -Center 28: 818
      -Center 29: 513
      -Center 30: 446
      -Center 31: 351
      -Center 32: 966
      -Center 33: 943
      -Center 34: 106
7.- Max distribution: 1387
-Send cost:
      -Center 1: 528
      -Center 2: 479
      -Center 3: 737
      -Center 4: 730
      -Center 5: 165
      -Center 6: 141
      -Center 7: 629
      -Center 8: 158
      -Center 9: 739
      -Center 10: 566
      -Center 11: 356
      -Center 12: 672
      -Center 13: 518
      -Center 14: 495
      -Center 15: 179
      -Center 16: 273
      -Center 17: 886
      -Center 18: 438
      -Center 19: 301
      -Center 20: 830
      -Center 21: 490
      -Center 22: 663
      -Center 23: 356
      -Center 24: 680
      -Center 25: 168
      -Center 26: 922
      -Center 27: 665
      -Center 28: 664
      -Center 29: 822
      -Center 30: 169
      -Center 31: 699
      -Center 32: 416
      -Center 33: 1000
      -Center 34: 620
8.- Max distribution: 1158
-Send cost:
      -Center 1: 720
      -Center 2: 635
      -Center 3: 371
      -Center 4: 676
      -Center 5: 913
      -Center 6: 581
      -Center 7: 787
      -Center 8: 332
      -Center 9: 195
      -Center 10: 669
      -Center 11: 274
      -Center 12: 295
      -Center 13: 296
      -Center 14: 722
      -Center 15: 685
      -Center 16: 144
      -Center 17: 729
      -Center 18: 102
      -Center 19: 255
      -Center 20: 755
      -Center 21: 245
      -Center 22: 969
      -Center 23: 898
      -Center 24: 308
      -Center 25: 411
      -Center 26: 917
      -Center 27: 900
      -Center 28: 243
      -Center 29: 285
      -Center 30: 896
      -Center 31: 394
